image_path,quality_type,grayscale_mean,laplacian_variance,glare_pixel_ratio,largest_highlight_component_ratio,is_blur,brightness,has_glare,quality_result
data\processed\bank_card\normal\bank_card_0001.png,normal,86.30549771167048,1103.5136630856232,0.018117848970251715,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0002.png,normal,86.32911613272312,1099.4874617126254,0.018163615560640733,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0003.png,normal,86.3424742562929,1099.6441951222364,0.0181149885583524,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0004.png,normal,86.39936498855835,1114.9742809345935,0.018481121281464532,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0005.png,normal,86.37726544622426,1105.7454250993533,0.01834954233409611,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0006.png,normal,86.46148741418764,1127.9982969529,0.0188558352402746,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0007.png,normal,86.55349828375286,1152.3642122847077,0.019047482837528603,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0008.png,normal,86.34077517162471,1098.9342866554173,0.018155034324942792,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0009.png,normal,86.36963958810068,1101.8076905455773,0.0182837528604119,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0010.png,normal,86.38731121281465,1120.5787145730374,0.018532608695652174,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0011.png,normal,86.27217677345537,1098.9300074792159,0.017894736842105262,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0012.png,normal,86.31655606407323,1103.2841493556462,0.0180720823798627,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0013.png,normal,86.3008037757437,1100.5318781885978,0.017971967963386726,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0014.png,normal,86.32729691075515,1103.1316665181175,0.01812929061784897,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0015.png,normal,86.50548340961099,1139.944097868232,0.018858695652173914,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0016.png,normal,86.31188787185354,1099.9522443213211,0.01804919908466819,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0017.png,normal,86.46601258581235,1138.9298415753258,0.01868421052631579,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0018.png,normal,86.3345881006865,1104.666346151985,0.018163615560640733,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0019.png,normal,86.51525171624714,1141.0776962664013,0.01888157894736842,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0020.png,normal,86.40483409610984,1114.5391379139985,0.018483981693363846,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0021.png,normal,86.5250171624714,1154.7382969529,0.01896453089244851,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0022.png,normal,86.54733695652173,1148.2347214380259,0.01909324942791762,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0023.png,normal,86.38657608695652,1117.0782511863097,0.018338100686498857,0.0008381006864988559,False,normal,False,pass
data\processed\bank_card\normal\bank_card_0024.png,normal,86.36554919908467,1111.0611287606805,0.01835812356979405,0.0008381006864988559,False,normal,False,pass
